longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,region,rooms_per_household,bedrooms_per_room,population_per_household
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,Other,4.335078534031414,0.2536231884057971,1.8795811518324608
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,Other,3.9,0.3125,2.64375
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,Other,4.075,0.27975460122699386,2.905
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,Other,4.295454545454546,0.2571428571428571,2.618181818181818
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,Other,4.77992277992278,0.23263327948303716,2.4015444015444016
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,Other,4.5625,0.24585436193222782,3.5328947368421053
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,Other,5.994652406417113,0.18822479928635147,2.962566844919786
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,Other,6.225563909774436,0.21980676328502416,2.9473684210526314
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,Other,4.382530120481928,0.24329896907216494,2.3734939759036147
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,Other,6.98639455782313,0.23758519961051608,3.3469387755102042
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,Other,4.584288052373159,0.22991788646911818,2.983633387888707
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,Other,3.375451263537906,0.3176470588235294,2.101083032490975
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,Other,6.2781954887218046,0.19281437125748502,2.180451127819549
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,Other,2.8177676537585423,0.3734842360549717,1.7357630979498861
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,Other,5.724950884086444,0.1928620452985587,2.4282907662082516
-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,Other,5.830917874396135,0.20132560066280034,3.4830917874396135
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,Other,5.369230769230769,0.21432664756446992,3.243076923076923
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,Other,3.1972318339100347,0.31277056277056275,2.1072664359861593
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,Other,3.9080459770114944,0.2852941176470588,2.2988505747126435
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,Other,2.3157894736842106,0.5125,1.5315789473684212
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,Other,2.6515151515151514,0.3977142857142857,1.6545454545454545
-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,Other,2.929411764705882,0.3132530120481928,4.658823529411765
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,Other,2.4431818181818183,0.4046511627906977,10.272727272727273
-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY,Other,3.493377483443709,0.3289099526066351,2.377483443708609
-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,Other,3.8949152542372882,0.28959965187119235,1.735593220338983
-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY,Other,3.681318681318681,0.3194029850746269,2.21978021978022
-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,Other,2.9456,0.3449212384573601,1.6192
-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,Other,3.7248,0.30369415807560135,1.8432
-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,Other,3.281721632196758,0.3260091977516607,1.5030743432084963
-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY,Other,6.184426229508197,0.14910536779324055,2.762295081967213
-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY,Other,4.848189415041783,0.21574260270037346,2.011142061281337
-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,Other,4.160847880299252,0.25621816002397363,1.8952618453865338
-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,Other,3.2530813475760065,0.30209648901237685,1.4371405094494658
-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY,Other,4.040501446480231,0.2637231503579952,1.7222757955641272
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,NEAR BAY,Other,6.742627345844504,0.15864811133200796,2.6005361930294906
-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,NEAR BAY,Other,6.851063829787234,0.15760869565217392,2.1117021276595747
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,NEAR BAY,Other,6.947890818858561,0.1467857142857143,2.632754342431762
-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,NEAR BAY,Other,7.11716621253406,0.139739663093415,2.455040871934605
-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,337300.0,NEAR BAY,Other,5.5303347280334725,0.1982220540949499,2.1244769874476988
-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,NEAR BAY,Other,6.127348643006263,0.16115843270868824,2.152400835073069
-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,NEAR BAY,Other,6.446064139941691,0.15649027589326098,2.4606413994169096
-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,NEAR BAY,Other,6.467268623024831,0.16055846422338568,2.419864559819413
-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0,NEAR BAY,Other,6.657992565055762,0.15131211613623674,2.45724907063197
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,366700.0,NEAR BAY,Other,6.982954545454546,0.14727420667209112,2.3863636363636362
-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,483300.0,NEAR BAY,Other,5.615384615384615,0.13013698630136986,2.423076923076923
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0,NEAR BAY,Other,6.785714285714286,0.14021052631578948,2.322857142857143
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,323500.0,NEAR BAY,Other,6.957746478873239,0.14709851551956815,2.504694835680751
-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0,NEAR BAY,Other,5.132246376811594,0.21355453582774445,2.282608695652174
-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,296400.0,NEAR BAY,Other,6.200892857142857,0.15262778977681785,2.2767857142857144
-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,199600.0,NEAR BAY,Other,5.183673469387755,0.20297462817147857,2.433106575963719
-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,302100.0,NEAR BAY,Other,5.65067178502879,0.18206521739130435,1.9846449136276392
-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,269500.0,NEAR BAY,Other,4.429193899782135,0.23905558288243975,1.7145969498910676
-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,314700.0,NEAR BAY,Other,6.727699530516432,0.159804605722261,2.8732394366197185
-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,390100.0,NEAR BAY,Other,7.7026315789473685,0.13734198838401093,2.6868421052631577
-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,410300.0,NEAR BAY,Other,8.972868217054264,0.126133909287257,3.3372093023255816
-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,352400.0,NEAR BAY,Other,7.599388379204893,0.12595573440643862,2.914373088685015
-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,243800.0,NEAR BAY,Other,4.333333333333333,0.26278069756330624,1.9006211180124224
-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,218400.0,NEAR BAY,Other,4.276639344262295,0.24436990896023,2.4528688524590163
-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,269900.0,NEAR BAY,Other,4.851351351351352,0.19976124154397135,2.023166023166023
-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,218800.0,NEAR BAY,Other,4.326639892904953,0.2583539603960396,1.8380187416331994
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,225000.0,NEAR BAY,Other,4.059113300492611,0.25849514563106796,1.6896551724137931
-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,250000.0,NEAR BAY,Other,3.2742382271468142,0.3350253807106599,1.8822714681440442
-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,171400.0,NEAR BAY,Other,3.5617433414043584,0.318830727396329,2.5714285714285716
-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,138800.0,NEAR BAY,Other,3.6887052341597797,0.29200896191187453,2.9917355371900825
-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,116700.0,NEAR BAY,Other,3.0902394106813995,0.36114421930870083,3.029465930018416
-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,127000.0,NEAR BAY,Other,4.368421052631579,0.2289156626506024,3.206140350877193
-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,128600.0,NEAR BAY,Other,4.585014409221902,0.23444374607165305,3.2219020172910664
-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,146900.0,NEAR BAY,Other,4.638132295719845,0.2424496644295302,3.0038910505836576
-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,122800.0,NEAR BAY,Other,4.496259351620948,0.23294509151414308,3.29426433915212
-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,107900.0,NEAR BAY,Other,4.327669902912621,0.22153673583847447,4.026699029126213
-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,137500.0,NEAR BAY,Other,3.7984790874524714,0.26426426426426425,3.844106463878327
-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,95500.0,NEAR BAY,Other,4.528052805280528,0.2879008746355685,4.082508250825082
-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375,116100.0,NEAR BAY,Other,4.011904761904762,0.26706231454005935,3.8511904761904763
-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,112200.0,NEAR BAY,Other,4.554621848739496,0.23124231242312424,3.596638655462185
-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1,75000.0,NEAR BAY,Other,3.1818181818181817,0.24571428571428572,4.1454545454545455
-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6,112500.0,NEAR BAY,Other,3.747967479674797,0.279826464208243,3.097560975609756
-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625,125000.0,NEAR BAY,Other,3.973568281938326,0.26274944567627495,3.7268722466960353
-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,115000.0,NEAR BAY,Other,3.510355029585799,0.3282764433206911,2.4541420118343193
-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59,96400.0,NEAR BAY,Other,4.38996138996139,0.2647317502198769,3.3436293436293436
-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,72000.0,NEAR BAY,Other,4.202185792349726,0.26788036410923277,3.3442622950819674
-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,128800.0,NEAR BAY,Other,4.0251572327044025,0.2760416666666667,3.19706498951782
-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,112500.0,NEAR BAY,Other,3.2420091324200913,0.3323943661971831,3.4383561643835616
-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,119400.0,NEAR BAY,Other,3.8666666666666667,0.2616632860040568,3.9529411764705884
-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,118100.0,NEAR BAY,Other,3.1158455392809588,0.3525641025641026,3.745672436750999
-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293,106300.0,NEAR BAY,Other,5.365296803652968,0.18468085106382978,3.922374429223744
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,132500.0,NEAR BAY,Other,4.479923518164436,0.24498506188647035,3.074569789674952
-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281,113300.0,NEAR BAY,Other,5.054347826086956,0.21397849462365592,3.0652173913043477
-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,164700.0,NEAR BAY,Other,4.998540145985402,0.20151869158878505,3.318248175182482
-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893,125000.0,NEAR BAY,Other,3.9076923076923076,0.24934383202099739,3.076923076923077
-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,124700.0,NEAR BAY,Other,4.489563567362429,0.24302620456466612,3.1252371916508537
-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,141700.0,NEAR BAY,Other,4.626707132018209,0.23319121023286324,3.2883156297420335
-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,156500.0,NEAR BAY,Other,4.316810344827586,0.24962556165751373,2.3900862068965516
-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.7721,217100.0,NEAR BAY,Other,5.772388059701493,0.18939883645765998,2.6343283582089554
-122.21,37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861,187100.0,NEAR BAY,Other,4.984419263456091,0.2020460358056266,2.6671388101983005
-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1184,239600.0,NEAR BAY,Other,6.088235294117647,0.17101449275362318,2.364705882352941
-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,229700.0,NEAR BAY,Other,5.242063492063492,0.19909159727479184,2.007936507936508
-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,4.2727,246900.0,NEAR BAY,Other,5.837349397590361,0.17595459236326108,2.3132530120481927
-122.19,37.79,50.0,968.0,195.0,462.0,184.0,2.9844,179900.0,NEAR BAY,Other,5.260869565217392,0.20144628099173553,2.510869565217391
-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,203300.0,NEAR BAY,Other,5.1152882205513786,0.19843214110730034,2.654135338345865
-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563,231800.0,NEAR BAY,Other,5.986784140969163,0.1659308314937454,2.436123348017621
-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297,140500.0,NEAR BAY,Other,4.699551569506727,0.24204834605597964,2.596412556053812
-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,126000.0,NEAR BAY,Other,4.62051282051282,0.25471698113207547,2.5871794871794873
-122.2,37.79,49.0,882.0,195.0,737.0,210.0,2.6667,122000.0,NEAR BAY,Other,4.2,0.22108843537414966,3.5095238095238095
-122.2,37.79,44.0,1621.0,452.0,1354.0,491.0,2.619,134700.0,NEAR BAY,Other,3.30142566191446,0.27884022208513265,2.7576374745417516
-122.21,37.79,45.0,2115.0,533.0,1530.0,474.0,2.4167,139400.0,NEAR BAY,Other,4.462025316455696,0.2520094562647754,3.2278481012658227
-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352,137300.0,NEAR BAY,Other,3.9349736379613356,0.2268870031263957,2.4428822495606326
-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,142600.0,NEAR BAY,Other,4.310204081632653,0.21212121212121213,3.23265306122449
-122.21,37.78,49.0,898.0,244.0,779.0,245.0,3.0536,137500.0,NEAR BAY,Other,3.6653061224489796,0.2717149220489978,3.179591836734694
-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906,111700.0,NEAR BAY,Other,4.865573770491803,0.23921832884097036,3.719672131147541
-122.21,37.78,47.0,881.0,248.0,753.0,241.0,2.625,111300.0,NEAR BAY,Other,3.6556016597510372,0.2814982973893303,3.12448132780083
-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801,131900.0,NEAR BAY,Other,3.38989898989899,0.3063170441001192,3.4343434343434343
-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,119100.0,NEAR BAY,Other,4.1653944020356235,0.28283445326817347,3.926208651399491
-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,2.2604,100000.0,NEAR BAY,Other,3.6714801444043323,0.3225172074729597,3.0180505415162453
-122.2,37.77,39.0,2689.0,597.0,1888.0,537.0,2.2562,94800.0,NEAR BAY,Other,5.007448789571694,0.2220156191892897,3.515828677839851
-122.2,37.78,39.0,1752.0,399.0,1071.0,376.0,3.1167,121600.0,NEAR BAY,Other,4.659574468085107,0.22773972602739725,2.848404255319149
-122.2,37.78,50.0,1867.0,403.0,1128.0,378.0,2.5401,129100.0,NEAR BAY,Other,4.939153439153439,0.2158543117300482,2.984126984126984
-122.19,37.78,52.0,2492.0,415.0,1109.0,375.0,4.3125,164400.0,NEAR BAY,Other,6.645333333333333,0.16653290529695025,2.957333333333333
-122.19,37.78,52.0,2198.0,397.0,984.0,369.0,3.22,156500.0,NEAR BAY,Other,5.956639566395664,0.18061874431301184,2.6666666666666665
-122.18,37.78,33.0,142.0,31.0,575.0,47.0,3.875,225000.0,NEAR BAY,Other,3.021276595744681,0.21830985915492956,12.23404255319149
-122.19,37.78,49.0,1183.0,205.0,496.0,209.0,5.2328,174200.0,NEAR BAY,Other,5.660287081339713,0.17328825021132713,2.373205741626794
-122.19,37.78,52.0,1070.0,193.0,555.0,190.0,3.7262,166900.0,NEAR BAY,Other,5.631578947368421,0.18037383177570093,2.9210526315789473
-122.18,37.79,46.0,2109.0,387.0,922.0,329.0,3.9712,208100.0,NEAR BAY,Other,6.410334346504559,0.18349928876244664,2.802431610942249
-122.19,37.79,47.0,1229.0,243.0,582.0,256.0,2.9514,198100.0,NEAR BAY,Other,4.80078125,0.19772172497965826,2.2734375
-122.18,37.81,37.0,1643.0,262.0,620.0,266.0,5.4446,336700.0,NEAR BAY,Other,6.176691729323308,0.1594643944004869,2.330827067669173
-122.18,37.8,23.0,2317.0,336.0,955.0,328.0,6.7527,285800.0,NEAR BAY,Other,7.064024390243903,0.14501510574018128,2.9115853658536586
-122.13,37.77,24.0,2459.0,317.0,916.0,324.0,7.0712,293000.0,NEAR BAY,Other,7.589506172839506,0.12891419276128507,2.8271604938271606
-122.16,37.79,22.0,12842.0,2048.0,4985.0,1967.0,5.9849,371000.0,NEAR BAY,Other,6.528723945094052,0.15947671702227068,2.5343162175902387
-122.18,37.78,50.0,1642.0,322.0,713.0,284.0,3.2984,160700.0,NEAR BAY,Other,5.78169014084507,0.1961023142509135,2.51056338028169
-122.16,37.77,45.0,2324.0,397.0,968.0,384.0,3.5739,176000.0,NEAR BAY,Other,6.052083333333333,0.17082616179001722,2.5208333333333335
-122.17,37.77,39.0,1612.0,342.0,912.0,322.0,3.3958,141900.0,NEAR BAY,Other,5.0062111801242235,0.21215880893300249,2.8322981366459627
-122.17,37.77,31.0,2424.0,533.0,1360.0,452.0,1.871,90700.0,NEAR BAY,Other,5.3628318584070795,0.2198844884488449,3.0088495575221237
-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,2.1842,107900.0,NEAR BAY,Other,5.544502617801047,0.19499527856468366,2.526178010471204
-122.18,37.76,37.0,1575.0,358.0,933.0,320.0,2.2917,107000.0,NEAR BAY,Other,4.921875,0.2273015873015873,2.915625
-122.18,37.76,50.0,1187.0,261.0,907.0,246.0,1.9479,89500.0,NEAR BAY,Other,4.82520325203252,0.21988205560235888,3.686991869918699
-122.18,37.76,52.0,754.0,175.0,447.0,165.0,3.9063,93800.0,NEAR BAY,Other,4.569696969696969,0.23209549071618038,2.709090909090909
-122.18,37.76,49.0,2308.0,452.0,1299.0,451.0,1.8407,96700.0,NEAR BAY,Other,5.117516629711751,0.19584055459272098,2.8802660753880267
-122.18,37.76,43.0,2018.0,408.0,1111.0,367.0,1.8913,91200.0,NEAR BAY,Other,5.498637602179836,0.20218037661050545,3.02724795640327
-122.18,37.77,52.0,2744.0,547.0,1479.0,554.0,2.2768,96200.0,NEAR BAY,Other,4.953068592057762,0.19934402332361517,2.6696750902527078
-122.18,37.77,51.0,2107.0,471.0,1173.0,438.0,3.2552,120100.0,NEAR BAY,Other,4.810502283105023,0.2235405790223066,2.6780821917808217
-122.19,37.76,52.0,2024.0,391.0,1030.0,350.0,2.4659,94700.0,NEAR BAY,Other,5.782857142857143,0.19318181818181818,2.942857142857143
-122.19,37.77,41.0,2036.0,510.0,1412.0,454.0,2.0469,89300.0,NEAR BAY,Other,4.484581497797357,0.2504911591355599,3.1101321585903086
-122.19,37.76,41.0,921.0,207.0,522.0,159.0,1.2083,72500.0,NEAR BAY,Other,5.7924528301886795,0.2247557003257329,3.2830188679245285
-122.2,37.76,37.0,2680.0,736.0,1925.0,667.0,1.4097,84600.0,NEAR BAY,Other,4.017991004497751,0.2746268656716418,2.886056971514243
-122.19,37.75,28.0,856.0,189.0,435.0,162.0,0.8012,81800.0,NEAR BAY,Other,5.283950617283951,0.2207943925233645,2.685185185185185
-122.19,37.73,44.0,1066.0,253.0,825.0,244.0,2.1538,79700.0,NEAR BAY,Other,4.368852459016393,0.2373358348968105,3.3811475409836067
-122.19,37.74,43.0,707.0,147.0,417.0,155.0,2.5139,83400.0,NEAR BAY,Other,4.561290322580645,0.2079207920792079,2.6903225806451614
-122.18,37.73,43.0,1391.0,293.0,855.0,285.0,2.5192,76400.0,NEAR BAY,Other,4.8807017543859645,0.21063982746225737,3.0
-122.18,37.73,44.0,548.0,119.0,435.0,136.0,2.1111,79700.0,NEAR BAY,Other,4.029411764705882,0.21715328467153286,3.198529411764706
-122.17,37.74,41.0,1613.0,445.0,1481.0,414.0,2.4028,97700.0,NEAR BAY,Other,3.896135265700483,0.2758834469931804,3.577294685990338
-122.17,37.74,46.0,1026.0,226.0,749.0,225.0,3.0298,107600.0,NEAR BAY,Other,4.56,0.2202729044834308,3.328888888888889
-122.18,37.74,46.0,2103.0,391.0,1339.0,354.0,2.2467,88900.0,NEAR BAY,Other,5.940677966101695,0.185924869234427,3.7824858757062145
-122.18,37.75,46.0,941.0,218.0,621.0,195.0,1.325,87100.0,NEAR BAY,Other,4.825641025641025,0.2316684378320935,3.1846153846153844
-122.18,37.75,45.0,990.0,261.0,901.0,260.0,2.1731,82000.0,NEAR BAY,Other,3.8076923076923075,0.2636363636363636,3.4653846153846155
-122.19,37.75,36.0,1126.0,263.0,482.0,150.0,1.9167,82800.0,NEAR BAY,Other,7.506666666666667,0.23357015985790408,3.2133333333333334
-122.17,37.75,44.0,1218.0,248.0,763.0,254.0,2.3281,88800.0,NEAR BAY,Other,4.7952755905511815,0.20361247947454844,3.0039370078740157
-122.17,37.75,48.0,1751.0,390.0,935.0,349.0,1.4375,90000.0,NEAR BAY,Other,5.017191977077364,0.22272986864648772,2.679083094555874
-122.16,37.75,38.0,2457.0,624.0,1516.0,482.0,1.5625,91700.0,NEAR BAY,Other,5.097510373443983,0.25396825396825395,3.145228215767635
-122.17,37.76,40.0,1685.0,343.0,949.0,342.0,1.8426,94800.0,NEAR BAY,Other,4.926900584795321,0.20356083086053411,2.7748538011695905
-122.16,37.76,46.0,1827.0,307.0,881.0,302.0,4.6696,164300.0,NEAR BAY,Other,6.049668874172186,0.16803503010399562,2.9172185430463577
-122.16,37.76,36.0,2781.0,574.0,1438.0,519.0,2.4598,155500.0,NEAR BAY,Other,5.358381502890174,0.20640057533261416,2.770712909441233
